Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G,Year,Playoffs,Playoffs_S,W/L%
Boston Celtics,,22.0,38.0,15.0,45.0,-4.88,0.44,-4.45,,,,,0.268,,0.314,0.272,,,0.158,,,,,Boston Garden,108240.0,,1947,False,False,
Chicago Stags,,39.0,22.0,41.0,20.0,3.67,-0.3,3.34,,,,,0.246,,0.336,0.298,,,0.149,,,,,Chicago Stadium,,,1947,True,False,
Cleveland Rebels,,30.0,30.0,27.0,33.0,-0.95,0.08,-0.86,,,,,0.251,,0.336,0.294,,,0.158,,,,,Cleveland Arena,,,1947,True,False,
Detroit Falcons,,20.0,40.0,24.0,36.0,-2.0,0.18,-1.83,,,,,0.256,,0.292,0.246,,,0.158,,,,,Detroit Olympia,,,1947,False,False,
New York Knicks,,33.0,27.0,32.0,28.0,0.65,-0.07,0.58,,,,,0.274,,0.33,0.279,,,0.181,,,,,Madison Square Garden (III),,505.0,1947,True,False,
Philadelphia Warriors,,35.0,25.0,40.0,20.0,3.48,-0.32,3.16,,,,,0.296,,0.338,0.28,,,0.204,,,,,Philadelphia Arena,,,1947,True,False,
Pittsburgh Ironmen,,15.0,45.0,12.0,48.0,-6.38,0.57,-5.81,,,,,0.304,,0.327,0.271,,,0.198,,,,,Duquesne Gardens,,,1947,False,False,
Providence Steamrollers,,28.0,32.0,25.0,35.0,-1.67,0.15,-1.54,,,,,0.298,,0.344,0.292,,,0.196,,,,,Rhode Island Auditorium,,,1947,False,False,
St. Louis Bombers,,38.0,23.0,39.0,22.0,2.51,-0.18,2.34,,,,,0.238,,0.313,0.272,,,0.147,,,,,St. Louis Arena,,,1947,True,False,
Toronto Huskies,,22.0,38.0,17.0,43.0,-4.43,0.39,-4.02,,,,,0.274,,0.314,0.267,,,0.17,,,,,Maple Leaf Gardens,,,1947,False,False,
Washington Capitols,,49.0,11.0,53.0,7.0,9.87,-0.91,8.99,,,,,0.24,,0.346,0.297,,,0.169,,,,,Uline Arena,,,1947,True,False,
League Average,,,,30.0,31.0,0.0,0.0,0.0,,,,,0.267,,0.326,0.279,,,0.171,,,,,,108240.0,46.0,1947,False,False,
Chicago Stags,,5.0,6.0,6.0,5.0,,,,,,,,0.241,,0.295,0.252,,,0.148,,,,,,,,1947,,True,0.455
Cleveland Rebels,,1.0,2.0,1.0,2.0,,,,,,,,0.276,,0.369,0.313,,,0.201,,,,,,,,1947,,True,0.333
New York Knicks,,2.0,3.0,1.0,4.0,,,,,,,,0.264,,0.316,0.272,,,0.162,,,,,,,,1947,,True,0.4
Philadelphia Warriors,,8.0,2.0,8.0,2.0,,,,,,,,0.303,,0.349,0.278,,,0.234,,,,,,,,1947,,True,0.8
St. Louis Bombers,,1.0,2.0,2.0,1.0,,,,,,,,0.201,,0.308,0.275,,,0.121,,,,,,,,1947,,True,0.333
Washington Capitols,,2.0,4.0,2.0,4.0,,,,,,,,0.287,,0.302,0.235,,,0.211,,,,,,,,1947,,True,0.333
League Average,,,,3.0,3.0,,,,,,,,0.266,,0.319,0.265,,,0.182,,,,,,,,1947,,True,
Baltimore Bullets,,28.0,20.0,33.0,15.0,3.85,-0.16,3.69,,,,,0.337,,0.363,0.301,,,0.232,,,,,Baltimore Coliseum,,,1948,True,False,
Boston Celtics,,20.0,28.0,15.0,33.0,-3.92,0.16,-3.76,,,,,0.288,,0.339,0.287,,,0.19,,,,,Boston Garden,90264.0,187.0,1948,True,False,
Chicago Stags,,28.0,20.0,30.0,18.0,2.65,0.01,2.66,,,,,0.279,,0.346,0.297,,,0.184,,,,,Chicago Stadium,,,1948,True,False,
New York Knicks,,26.0,22.0,31.0,17.0,3.15,-0.85,2.3,,,,,0.273,,0.338,0.287,,,0.184,,,,,Madison Square Garden (III),,,1948,True,False,
Philadelphia Warriors,,27.0,21.0,27.0,21.0,1.27,-0.58,0.69,,,,,0.277,,0.322,0.262,,,0.198,,,,,Philadelphia Arena,,,1948,True,False,
Providence Steamrollers,,6.0,42.0,5.0,43.0,-11.56,1.25,-10.31,,,,,0.275,,0.32,0.274,,,0.169,,,,,Rhode Island Auditorium,,239.0,1948,False,False,
St. Louis Bombers,,29.0,19.0,29.0,19.0,2.02,0.1,2.12,,,,,0.273,,0.337,0.285,,,0.184,,,,,St. Louis Arena,,,1948,True,False,
Washington Capitols,,28.0,20.0,30.0,18.0,2.54,0.03,2.57,,,,,0.251,,0.333,0.279,,,0.181,,,,,Uline Arena,,,1948,True,False,
League Average,,,,25.0,23.0,0.0,-0.01,-0.01,,,,,0.281,,0.337,0.284,,,0.19,,,,,,90264.0,52.0,1948,False,False,
Baltimore Bullets,,8.0,3.0,7.0,4.0,,,,,,,,0.401,,0.369,0.287,,,0.294,,,,,,,,1948,,True,0.727
Boston Celtics,,1.0,2.0,1.0,2.0,,,,,,,,0.456,,0.375,0.298,,,0.306,,,,,,,,1948,,True,0.333
Chicago Stags,,2.0,3.0,2.0,3.0,,,,,,,,0.383,,0.35,0.278,,,0.261,,,,,,,,1948,,True,0.4
New York Knicks,,1.0,2.0,1.0,2.0,,,,,,,,0.399,,0.398,0.336,,,0.265,,,,,,,,1948,,True,0.333
Philadelphia Warriors,,6.0,7.0,10.0,3.0,,,,,,,,0.314,,0.321,0.255,,,0.221,,,,,,,,1948,,True,0.462
St. Louis Bombers,,3.0,4.0,1.0,6.0,,,,,,,,0.247,,0.296,0.244,,,0.169,,,,,,,,1948,,True,0.429
League Average,,,,4.0,3.0,,,,,,,,0.348,,0.342,0.272,,,0.244,,,,,,,,1948,,True,
Baltimore Bullets,,29.0,31.0,33.0,27.0,1.38,-0.23,1.15,,,,,0.398,,0.414,0.336,,,0.299,,,,,Baltimore Coliseum,,,1949,True,False,
Boston Celtics,,25.0,35.0,22.0,38.0,-2.92,0.16,-2.76,,,,,0.339,,0.365,0.311,,,0.215,,,,,Boston Garden,144275.0,,1949,False,False,
Chicago Stags,,38.0,22.0,40.0,20.0,4.0,-0.27,3.73,,,,,0.309,,0.386,0.331,,,0.214,,,,,Chicago Stadium,,,1949,True,False,
Fort Wayne Pistons,,22.0,38.0,21.0,39.0,-3.23,0.38,-2.85,,,,,0.369,,0.357,0.286,,,0.258,,,,,North Side High School Gym,,,1949,False,False,
Indianapolis Jets,,18.0,42.0,18.0,42.0,-4.72,0.52,-4.2,,,,,0.335,,0.364,0.302,,,0.231,,,,,Hinkle Fieldhouse,,,1949,False,False,
Minneapolis Lakers,,44.0,16.0,47.0,13.0,7.38,-0.58,6.8,,,,,0.342,,0.426,0.366,,,0.247,,,,,Minneapolis Auditorium,,,1949,True,False,
New York Knicks,,32.0,28.0,34.0,26.0,1.48,-0.24,1.24,,,,,0.374,,0.39,0.322,,,0.263,,,,,Madison Square Garden (III),,,1949,True,False,
Philadelphia Warriors,,28.0,32.0,31.0,29.0,0.35,-0.14,0.21,,,,,0.333,,0.385,0.322,,,0.239,,,,,Philadelphia Arena,,,1949,True,False,
Providence Steamrollers,,12.0,48.0,11.0,49.0,-9.13,0.73,-8.44,,,,,0.321,,0.38,0.322,,,0.222,,,,,Rhode Island Auditorium,,,1949,False,False,
Rochester Royals,,45.0,15.0,46.0,14.0,6.63,-0.51,6.12,,,,,0.423,,0.437,0.372,,,0.292,,,,,Edgerton Park Arena,,,1949,True,False,
