Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Playoffs,Playoffs_S
Chicago Stags,61.0,,30.8,103.4,0.298,,,,30.8,103.4,0.298,15.4,25.4,0.606,,,,7.1,,,,24.1,77.0,1947,True,False
Washington Capitols,60.0,,28.7,96.6,0.297,,,,28.7,96.6,0.297,16.4,23.2,0.706,,,,6.3,,,,19.1,73.8,1947,True,False
Providence Steamrollers,60.0,,27.2,93.0,0.292,,,,27.2,93.0,0.292,18.2,27.8,0.655,,,,8.0,,,,20.3,72.5,1947,False,False
Cleveland Rebels,60.0,,27.9,95.0,0.294,,,,27.9,95.0,0.294,15.1,23.8,0.632,,,,8.2,,,,20.8,70.9,1947,True,False
Philadelphia Warriors,60.0,,25.2,89.7,0.28,,,,25.2,89.7,0.28,18.3,26.6,0.688,,,,5.7,,,,18.0,68.6,1947,True,False
St. Louis Bombers,61.0,,26.2,96.3,0.272,,,,26.2,96.3,0.272,14.1,23.0,0.616,,,,4.8,,,,20.2,66.6,1947,True,False
Toronto Huskies,60.0,,25.3,94.5,0.267,,,,25.3,94.5,0.267,16.1,25.9,0.622,,,,7.7,,,,21.2,66.6,1947,False,False
New York Knicks,60.0,,24.4,87.6,0.279,,,,24.4,87.6,0.279,15.9,24.0,0.661,,,,7.6,,,,20.3,64.7,1947,True,False
Detroit Falcons,60.0,,24.0,97.4,0.246,,,,24.0,97.4,0.246,15.4,24.9,0.618,,,,8.0,,,,22.5,63.3,1947,False,False
Pittsburgh Ironmen,60.0,,22.4,82.7,0.271,,,,22.4,82.7,0.271,16.4,25.1,0.653,,,,4.5,,,,22.7,61.2,1947,False,False
Boston Celtics,60.0,,23.3,85.6,0.272,,,,23.3,85.6,0.272,13.5,22.9,0.59,,,,7.8,,,,20.0,60.1,1947,False,False
League Average,60.0,,25.9,92.9,0.279,,,,25.9,92.9,0.279,15.9,24.8,0.641,,,,6.9,,,,20.8,67.8,1947,False,False
Philadelphia Warriors,10.0,,26.5,95.3,0.278,,,,26.5,95.3,0.278,22.3,28.9,0.772,,,,5.2,,,,20.4,75.3,1947,,True
Cleveland Rebels,3.0,,28.0,89.3,0.313,,,,28.0,89.3,0.313,18.0,24.7,0.73,,,,7.7,,,,22.3,74.0,1947,,True
Chicago Stags,11.0,,27.4,108.5,0.252,,,,27.4,108.5,0.252,16.0,26.2,0.611,,,,2.9,,,,23.9,70.7,1947,,True
New York Knicks,5.0,,27.2,100.0,0.272,,,,27.2,100.0,0.272,16.2,26.4,0.614,,,,7.4,,,,20.0,70.6,1947,,True
St. Louis Bombers,3.0,,27.3,99.3,0.275,,,,27.3,99.3,0.275,12.0,20.0,0.6,,,,2.0,,,,23.0,66.7,1947,,True
Washington Capitols,6.0,,21.7,92.3,0.235,,,,21.7,92.3,0.235,19.5,26.5,0.736,,,,3.7,,,,21.7,62.8,1947,,True
League Average,6.0,,26.3,99.1,0.265,,,,26.3,99.1,0.265,18.1,26.4,0.686,,,,4.5,,,,21.9,70.6,1947,,True
Chicago Stags,48.0,,29.0,97.6,0.297,,,,29.0,97.6,0.297,17.9,27.2,0.659,,,,9.0,,,,23.7,75.8,1948,True,False
New York Knicks,48.0,,28.2,98.4,0.287,,,,28.2,98.4,0.287,18.1,26.9,0.672,,,,7.8,,,,22.4,74.5,1948,True,False
Baltimore Bullets,48.0,,26.8,89.2,0.301,,,,26.8,89.2,0.301,20.7,30.1,0.689,,,,6.7,,,,22.5,74.4,1948,True,False
Washington Capitols,48.0,,27.8,99.7,0.279,,,,27.8,99.7,0.279,18.0,25.1,0.719,,,,6.4,,,,22.6,73.7,1948,True,False
Philadelphia Warriors,48.0,,26.6,101.6,0.262,,,,26.6,101.6,0.262,20.1,28.1,0.714,,,,7.0,,,,19.5,73.4,1948,True,False
St. Louis Bombers,48.0,,27.0,94.8,0.285,,,,27.0,94.8,0.285,17.5,25.9,0.674,,,,4.5,,,,21.9,71.5,1948,True,False
Providence Steamrollers,48.0,,26.4,96.5,0.274,,,,26.4,96.5,0.274,16.3,26.6,0.613,,,,7.2,,,,23.0,69.1,1948,False,False
Boston Celtics,48.0,,25.9,90.1,0.287,,,,25.9,90.1,0.287,17.1,26.0,0.659,,,,7.6,,,,22.2,68.8,1948,True,False
League Average,48.0,,27.2,96.0,0.284,,,,27.2,96.0,0.284,18.2,27.0,0.675,,,,7.0,,,,22.2,72.7,1948,False,False
New York Knicks,3.0,,28.3,84.3,0.336,,,,28.3,84.3,0.336,22.3,33.7,0.663,,,,5.3,,,,31.0,79.0,1948,,True
Baltimore Bullets,11.0,,25.5,88.5,0.287,,,,25.5,88.5,0.287,26.0,35.5,0.731,,,,6.0,,,,28.6,76.9,1948,,True
Boston Celtics,3.0,,25.0,84.0,0.298,,,,25.0,84.0,0.298,25.7,38.3,0.67,,,,7.3,,,,29.3,75.7,1948,,True
Chicago Stags,5.0,,25.6,92.0,0.278,,,,25.6,92.0,0.278,24.0,35.2,0.682,,,,6.2,,,,29.8,75.2,1948,,True
Philadelphia Warriors,13.0,,25.0,98.1,0.255,,,,25.0,98.1,0.255,21.7,30.8,0.705,,,,7.0,,,,22.5,71.7,1948,,True
St. Louis Bombers,7.0,,21.9,89.6,0.244,,,,21.9,89.6,0.244,15.1,22.1,0.684,,,,4.0,,,,20.3,58.9,1948,,True
