player_id,player_name,from,to,pos,ht,wt,birth_date,colleges
76001,Alaa Abdelnaby,1991,1995,F-C,82,240.0,1968-06-24,Duke
76003,Kareem Abdul-Jabbar,1970,1989,C,86,225.0,1947-04-16,UCLA
51,Mahmoud Abdul-Rauf,1991,2001,G,73,162.0,1969-03-09,LSU
1505,Tariq Abdul-Wahad,1998,2003,F,78,223.0,1974-11-03,"Michigan, San Jose State"
949,Shareef Abdur-Rahim,1997,2008,F,81,225.0,1976-12-11,California
76005,Tom Abernethy,1977,1981,F,79,220.0,1954-05-06,Indiana
203518,Alex Abrines,2017,2019,G-F,78,200.0,1993-08-01,
1630173,Precious Achiuwa,2021,2024,F,80,225.0,1999-09-19,Memphis
101165,Alex Acker,2006,2009,G,77,185.0,1983-01-21,Pepperdine
76009,Mark Acres,1988,1993,F-C,83,220.0,1962-11-15,Oral Roberts
203112,Quincy Acy,2013,2019,F-C,79,240.0,1990-10-06,Baylor
76011,Alvan Adams,1976,1988,C-F,81,210.0,1954-07-19,Oklahoma
200801,Hassan Adams,2007,2009,G,76,220.0,1984-06-20,Arizona
1629121,Jaylen Adams,2019,2021,G,72,225.0,1996-05-04,St. Bonaventure
203919,Jordan Adams,2015,2016,G,77,209.0,1994-07-08,UCLA
149,Michael Adams,1986,1996,G,70,162.0,1963-01-19,Boston College
203500,Steven Adams,2014,2023,C,83,265.0,1993-07-20,Pitt
912,Rafael Addison,1987,1997,F-G,79,215.0,1964-07-22,Syracuse
1628389,Bam Adebayo,2018,2024,C-F,81,255.0,1997-07-18,Kentucky
1629061,Deng Adel,2019,2019,F,79,200.0,1997-02-01,Louisville
202399,Jeff Adrien,2011,2015,F,79,245.0,1986-02-10,UConn
201167,Arron Afflalo,2008,2018,G-F,77,210.0,1985-10-15,UCLA
1630534,Ochai Agbaji,2023,2024,G,77,215.0,2000-04-20,Kansas
200772,Maurice Ager,2007,2011,G,77,202.0,1984-02-09,Michigan State
76016,Mark Aguirre,1982,1994,F-G,78,232.0,1959-12-10,DePaul
201336,Blake Ahearn,2008,2012,G,74,190.0,1984-05-27,Missouri State
76017,Danny Ainge,1982,1995,G,77,185.0,1959-03-17,BYU
201582,Alexis Ajinca,2009,2017,C-F,86,248.0,1988-05-06,
203006,Josh Akognon,2013,2013,G,71,185.0,1986-02-10,"Washington State, Cal State Fullerton"
1629152,DeVaughn Akoon-Purcell,2019,2019,G,78,200.0,1993-06-05,Illinois State
202374,Solomon Alabi,2011,2012,C,85,251.0,1988-03-21,Florida State
76019,Mark Alarie,1987,1991,F,80,217.0,1963-12-11,Duke
1630583,Santi Aldama,2022,2024,F,83,224.0,2001-01-10,Loyola (MD)
203128,Furkan Aldemir,2015,2015,F-C,82,240.0,1991-08-09,
202332,Cole Aldrich,2011,2018,C,83,250.0,1988-10-31,Kansas
200746,LaMarcus Aldridge,2007,2022,F-C,83,250.0,1985-07-19,Texas
76021,Chuck Aleksinas,1985,1985,C,83,260.0,1959-02-26,"Kentucky, UConn"
1626146,Cliff Alexander,2016,2016,F,80,245.0,1995-11-16,Kansas
724,Cory Alexander,1996,2005,G,73,185.0,1973-06-22,Virginia
2042,Courtney Alexander,2001,2003,G,77,205.0,1977-04-27,"Virginia, Fresno State"
76022,Gary Alexander,1994,1994,F,79,240.0,1969-11-01,South Florida
201570,Joe Alexander,2009,2010,F,80,230.0,1986-12-26,West Virginia
1629734,Kyle Alexander,2020,2020,F,83,220.0,1996-10-21,Tennessee
1630234,Ty-Shon Alexander,2021,2021,G,75,195.0,1998-07-16,Creighton
2349,Victor Alexander,1992,2002,C-F,81,265.0,1969-08-31,Iowa State
1629638,Nickeil Alexander-Walker,2020,2024,G,77,205.0,1998-09-02,Virginia Tech
76024,Steve Alford,1988,1991,G,74,183.0,1964-11-23,Indiana
1628959,Rawle Alkins,2019,2019,G,77,225.0,1997-10-29,Arizona
1628960,Grayson Allen,2019,2024,G,76,198.0,1995-10-08,Duke
1628386,Jarrett Allen,2018,2024,C-F,83,243.0,1998-04-21,Texas
706,Jerome Allen,1996,1997,G,76,184.0,1973-01-28,Penn
1628443,Kadeem Allen,2018,2020,G,73,200.0,1993-01-15,Arizona
202730,Lavoy Allen,2012,2017,F-C,81,260.0,1989-02-04,Temple
2124,Malik Allen,2002,2011,F-C,82,255.0,1978-06-27,Villanova
76025,Randy Allen,1989,1990,F,80,220.0,1965-01-26,Florida State
951,Ray Allen,1997,2014,G,77,205.0,1975-07-20,UConn
2754,Tony Allen,2005,2018,G-F,76,213.0,1982-01-11,"Butler County Community College, Oklahoma State"
200984,Lance Allred,2008,2008,C,83,250.0,1981-02-02,"Utah, Weber State"
76030,Darrell Allums,1981,1981,F,81,220.0,1958-09-12,UCLA
201165,Morris Almond,2008,2012,G,78,225.0,1985-02-02,Rice University
308,Derrick Alston,1995,1997,F,83,225.0,1972-08-20,Duquesne
1747,Rafer Alston,2000,2010,G,74,171.0,1976-07-24,Fresno State
1824,Peter Aluma,1999,1999,C,82,260.0,1973-04-23,Liberty
1630631,Jose Alvarado,2022,2024,G,72,179.0,1998-04-12,Georgia Tech
680,John Amaechi,1996,2003,C-F,82,270.0,1970-11-26,"Vanderbilt, Penn State"
732,Ashraf Amaya,1996,1997,F,80,230.0,1971-11-23,Southern Illinois
202329,Al-Farouq Aminu,2011,2021,F,80,220.0,1990-09-21,Wake Forest
200811,Lou Amundson,2007,2016,F-C,81,220.0,1982-12-07,UNLV
2365,Chris Andersen,2002,2017,C-F,82,245.0,1978-07-07,Blinn College
2431,David Andersen,2010,2011,C,83,245.0,1980-06-23,
101187,Alan Anderson,2006,2017,G-F,78,220.0,1982-10-16,Michigan State
202079,Antonio Anderson,2010,2010,G,78,215.0,1985-06-05,Memphis
1507,Derek Anderson,1998,2008,G,77,194.0,1974-07-18,"Ohio State, Kentucky"
76037,Dwight Anderson,1983,1983,G,75,185.0,1960-12-28,"Kentucky, USC"
944,Eric Anderson,1993,1994,F,81,220.0,1970-05-26,Indiana
246,Greg Anderson,1988,1998,F-C,82,230.0,1964-06-22,Houston
