Team,Playoffs%,Finals%,Champ%
Celtics,97.8,40.1,24.8
Nuggets,96.9,33.7,18.9
76ers,97.2,18.1,10
Bucks,96.7,19.2,9.3
Suns,81.8,13.9,6.6
Lakers,83.0,9.0,3.9
Timberwolves,95.2,9.8,3.8
Cavaliers,91.5,6.7,3.2
Knicks,82.3,4.9,2.4
Warriors,65.5,5.4,2.3
Heat,81.9,4.7,2.3
Clippers,72.1,5.6,2.1
Thunder,85.6,6.7,1.9
Kings,73.8,5.0,1.9
Mavericks,61.7,4.8,1.8
Pelicans,60.8,4.5,1.4
Nets,59.8,1.5,0.7
Pacers,44.2,1.1,0.5
Hawks,34.7,1.1,0.5
Grizzlies,3.8,0.4,0.3
Rockets,16.4,0.8,0.3
Magic,70.5,1.4,0.3
Bulls,17.5,0.5,0.3
Raptors,21.9,0.5,0.2
Jazz,2.3,0.2,0.1
Hornets,3.0,0.1,0
Wizards,0.5,0.1,0
Pistons,0.5,0.1,0
Blazers,0.5,0.1,0
Spurs,0.5,0.1,0
