season,lg,tm,players,type,player_one,player_two,player_three,player_four,player_five,player_six
2023,NBA,1st,"Joel Embiid C, Giannis Antetokounmpo F, Jayson Tatum F, Luka Dončić G, Shai Gilgeous-Alexander G",All League,203954,203507,1628369,1629029,1628983,-99
2023,NBA,2nd,"Nikola Jokić C, Jimmy Butler F, Jaylen Brown F, Donovan Mitchell G, Stephen Curry G",All League,203999,202710,1627759,1628378,201939,-99
2023,NBA,3rd,"Domantas Sabonis C, LeBron James F, Julius Randle F, De'Aaron Fox G, Damian Lillard G",All League,1627734,2544,203944,1628368,203081,-99
2022,NBA,1st,"Nikola Jokić C, Giannis Antetokounmpo F, Jayson Tatum F, Luka Dončić G, Devin Booker G",All League,203999,203507,1628369,1629029,1626164,-99
2022,NBA,2nd,"Joel Embiid C, Kevin Durant F, DeMar DeRozan F, Ja Morant G, Stephen Curry G",All League,203954,201142,201942,1629630,201939,-99
2022,NBA,3rd,"Karl-Anthony Towns C, LeBron James F, Pascal Siakam F, Chris Paul G, Trae Young G",All League,1626157,2544,1627783,101108,1629027,-99
2021,NBA,1st,"Nikola Jokić C, Giannis Antetokounmpo F, Kawhi Leonard F, Stephen Curry G, Luka Dončić G",All League,203999,203507,202695,201939,1629029,-99
2021,NBA,2nd,"Joel Embiid C, Julius Randle F, LeBron James F, Chris Paul G, Damian Lillard G",All League,203954,203944,2544,101108,203081,-99
2021,NBA,3rd,"Rudy Gobert C, Jimmy Butler F, Paul George F, Bradley Beal G, Kyrie Irving G",All League,203497,202710,202331,203078,202681,-99
2020,NBA,1st,"Anthony Davis C, Giannis Antetokounmpo F, LeBron James F, James Harden G, Luka Dončić G",All League,203076,203507,2544,201935,1629029,-99
2020,NBA,2nd,"Nikola Jokić C, Kawhi Leonard F, Pascal Siakam F, Damian Lillard G, Chris Paul G",All League,203999,202695,1627783,203081,101108,-99
2020,NBA,3rd,"Rudy Gobert C, Jayson Tatum F, Jimmy Butler F, Ben Simmons G, Russell Westbrook G",All League,203497,1628369,202710,1627732,201566,-99
2019,NBA,1st,"Nikola Jokić C, Giannis Antetokounmpo F, Paul George F, James Harden G, Stephen Curry G",All League,203999,203507,202331,201935,201939,-99
