team_id,team,g,mp,fg,fga,fg_percentage,threeP,threePA,threeP_percentage,twoP,twoPA,twoP_percentage,ft,fta,ft_percentage,orb,drb,trb,ast,stl,blk,tov,pf,pts,year,playoffs,playoffs_s
1610612744,Philadelphia Warriors,60,-99,25.2,89.7,0.28,-99.0,-99.0,-99.0,25.2,89.7,0.28,18.3,26.6,0.688,-99.0,-99.0,-99.0,5.7,-99.0,-99.0,-99.0,18.0,68.6,1947,Y,N
1610612752,New York Knicks,60,-99,24.4,87.6,0.279,-99.0,-99.0,-99.0,24.4,87.6,0.279,15.9,24.0,0.661,-99.0,-99.0,-99.0,7.6,-99.0,-99.0,-99.0,20.3,64.7,1947,Y,N
1610612738,Boston Celtics,60,-99,23.3,85.6,0.272,-99.0,-99.0,-99.0,23.3,85.6,0.272,13.5,22.9,0.59,-99.0,-99.0,-99.0,7.8,-99.0,-99.0,-99.0,20.0,60.1,1947,N,N
1610612744,Philadelphia Warriors,10,-99,26.5,95.3,0.278,-99.0,-99.0,-99.0,26.5,95.3,0.278,22.3,28.9,0.772,-99.0,-99.0,-99.0,5.2,-99.0,-99.0,-99.0,20.4,75.3,1947,Y,Y
1610612752,New York Knicks,5,-99,27.2,100.0,0.272,-99.0,-99.0,-99.0,27.2,100.0,0.272,16.2,26.4,0.614,-99.0,-99.0,-99.0,7.4,-99.0,-99.0,-99.0,20.0,70.6,1947,Y,Y
1610612752,New York Knicks,48,-99,28.2,98.4,0.287,-99.0,-99.0,-99.0,28.2,98.4,0.287,18.1,26.9,0.672,-99.0,-99.0,-99.0,7.8,-99.0,-99.0,-99.0,22.4,74.5,1948,Y,N
1610612764,Baltimore Bullets,48,-99,26.8,89.2,0.301,-99.0,-99.0,-99.0,26.8,89.2,0.301,20.7,30.1,0.689,-99.0,-99.0,-99.0,6.7,-99.0,-99.0,-99.0,22.5,74.4,1948,Y,N
1610612744,Philadelphia Warriors,48,-99,26.6,101.6,0.262,-99.0,-99.0,-99.0,26.6,101.6,0.262,20.1,28.1,0.714,-99.0,-99.0,-99.0,7.0,-99.0,-99.0,-99.0,19.5,73.4,1948,Y,N
1610612738,Boston Celtics,48,-99,25.9,90.1,0.287,-99.0,-99.0,-99.0,25.9,90.1,0.287,17.1,26.0,0.659,-99.0,-99.0,-99.0,7.6,-99.0,-99.0,-99.0,22.2,68.8,1948,Y,N
1610612752,New York Knicks,3,-99,28.3,84.3,0.336,-99.0,-99.0,-99.0,28.3,84.3,0.336,22.3,33.7,0.663,-99.0,-99.0,-99.0,5.3,-99.0,-99.0,-99.0,31.0,79.0,1948,Y,Y
