team_id,franchise,abbvreviation,lg,from,to,years,g,w,l,wl_percentage,playoffs,division,conference,championship
1610612737,Atlanta Hawks,ATL,NBA,1949,2024,75,5878,2900,2978,0.493,49,12,0,1
1610612738,Boston Celtics,BOS,NBA/BAA,1946,2024,78,6054,3587,2467,0.593,60,33,10,17
1610612751,Brooklyn Nets,BKN,NBA/ABA,1967,2024,57,4553,2009,2544,0.441,31,5,2,2
1610612766,Charlotte Hornets,CHA,NBA,1988,2024,34,2653,1160,1493,0.437,10,0,0,0
1610612741,Chicago Bulls,CHI,NBA,1966,2024,58,4623,2353,2270,0.509,37,9,6,6
1610612739,Cleveland Cavaliers,CLE,NBA,1970,2024,54,4295,1997,2298,0.465,23,7,5,1
1610612742,Dallas Mavericks,DAL,NBA,1980,2024,44,3484,1762,1722,0.506,24,4,2,1
1610612743,Denver Nuggets,DEN,NBA/ABA,1967,2024,57,4556,2326,2230,0.511,38,13,1,1
1610612765,Detroit Pistons,DET,NBA/BAA,1948,2024,76,5940,2815,3125,0.474,42,11,5,3
1610612744,Golden State Warriors,GSW,NBA/BAA,1946,2024,78,6044,2933,3111,0.485,37,12,7,7
1610612745,Houston Rockets,HOU,NBA,1967,2024,57,4545,2340,2205,0.515,34,8,4,2
1610612754,Indiana Pacers,IND,NBA/ABA,1967,2024,57,4552,2323,2229,0.51,36,9,1,3
1610612746,Los Angeles Clippers,LAC,NBA,1970,2024,54,4301,1805,2496,0.42,17,2,0,0
1610612747,Los Angeles Lakers,LAL,NBA/BAA,1948,2024,76,5947,3518,2429,0.592,63,33,19,17
1610612763,Memphis Grizzlies,MEM,NBA,1995,2024,29,2252,977,1275,0.434,13,2,0,0
1610612748,Miami Heat,MIA,NBA,1988,2024,36,2827,1489,1338,0.527,24,16,7,3
1610612749,Milwaukee Bucks,MIL,NBA,1968,2024,56,4467,2357,2110,0.528,35,18,3,2
1610612750,Minnesota Timberwolves,MIN,NBA,1989,2024,35,2734,1108,1626,0.405,11,1,0,0
1610612740,New Orleans Pelicans,NOP,NBA,2002,2024,22,1711,796,915,0.465,9,1,0,0
1610612752,New York Knicks,NYK,NBA/BAA,1946,2024,78,6046,2937,3109,0.486,44,8,4,2
1610612760,Oklahoma City Thunder,OKC,NBA,1967,2024,57,4546,2428,2118,0.534,33,11,4,1
1610612753,Orlando Magic,ORL,NBA,1989,2024,35,2744,1284,1460,0.468,16,6,2,0
1610612755,Philadelphia 76ers,PHI,NBA,1949,2024,75,5882,3070,2812,0.522,53,12,5,3
1610612756,Phoenix Suns,PHX,NBA,1968,2024,56,4467,2393,2074,0.536,32,8,3,0
1610612757,Portland Trail Blazers,POR,NBA,1970,2024,54,4302,2277,2025,0.529,37,6,3,1
1610612758,Sacramento Kings,SAC,NBA/BAA,1948,2024,76,5945,2715,3230,0.457,30,6,0,1
1610612759,San Antonio Spurs,SAS,NBA/ABA,1967,2024,57,4552,2664,1888,0.585,47,22,6,5
1610612761,Toronto Raptors,TOR,NBA,1995,2024,29,2252,1081,1171,0.48,14,7,1,1
1610612762,Utah Jazz,UTA,NBA,1974,2024,50,3974,2154,1820,0.542,31,11,2,0
1610612764,Washington Wizards,WAS,NBA,1961,2024,63,5028,2260,2768,0.449,30,8,4,1
